Cola,CaffeineAmt
CocaCola,47.32
CocaCola,43.78
CocaCola,48.12
CocaCola,43.25
CocaCola,46.42
CocaCola,45.16
CocaCola,45.17
CocaCola,42.48
CocaCola,47.7
CocaCola,36.62
CocaCola,39.06
CocaCola,34.59
CocaCola,45.96
CocaCola,41.19
CocaCola,35.81
CocaCola,32.56
CocaCola,40.06
CocaCola,42.09
CocaCola,39.3
CocaCola,40.37
CocaCola,41.92
CocaCola,40.9
CocaCola,38.43
CocaCola,34.09
CocaCola,38.81
CocaCola,40
CocaCola,38.9
CocaCola,40.38
CocaCola,32.98
CocaCola,35.59
CocaCola,44
CocaCola,34.85
CocaCola,33.41
CocaCola,30.56
CocaCola,37.94
CocaCola,29.38
CocaCola,37.03
CocaCola,34
CocaCola,35.4
CocaCola,33.44
CocaCola,33.04
CocaCola,33.55
CocaCola,35.91
CocaCola,36.81
CocaCola,32.04
CocaCola,32.3
CocaCola,29.93
CocaCola,28.43
CocaCola,35.34
CocaCola,30.64
DietCoke,44.6
DietCoke,45.66
DietCoke,46.37
DietCoke,48.11
DietCoke,48.47
DietCoke,45.91
DietCoke,47.91
DietCoke,48.25
DietCoke,47.26
DietCoke,47.47
DietCoke,41.07
DietCoke,42.55
DietCoke,41.27
DietCoke,47.52
DietCoke,46
DietCoke,46.99
DietCoke,49.12
DietCoke,41.27
DietCoke,43.8
DietCoke,44.39
DietCoke,39.71
DietCoke,44.35
DietCoke,46.73
DietCoke,45.18
DietCoke,47.79
DietCoke,43.93
DietCoke,47.77
DietCoke,39.34
DietCoke,49.65
DietCoke,46.55
DietCoke,44.76
DietCoke,48.7
DietCoke,47.95
DietCoke,51.2
DietCoke,46.21
DietCoke,42.05
DietCoke,48.06
DietCoke,47.26
DietCoke,48.97
DietCoke,46.85
DietCoke,48.35
DietCoke,49.71
DietCoke,49.64
DietCoke,46.65
DietCoke,49.31
DietCoke,47.49
DietCoke,49.37
DietCoke,46.85
DietCoke,45.77
DietCoke,47.87
Pepsi,37.49
Pepsi,38.75
Pepsi,40.45
Pepsi,41.05
Pepsi,40.04
Pepsi,36.63
Pepsi,39.8
Pepsi,41.24
Pepsi,38.72
Pepsi,38.82
Pepsi,34.3
Pepsi,43.52
Pepsi,41.4
Pepsi,36.32
Pepsi,39.5
Pepsi,36.19
Pepsi,39.13
Pepsi,42.18
Pepsi,34.61
Pepsi,43.86
Pepsi,37.21
Pepsi,35.08
Pepsi,40.47
Pepsi,34.01
Pepsi,36.32
Pepsi,41.36
Pepsi,37.44
Pepsi,39.93
Pepsi,42.86
Pepsi,36.31
Pepsi,42.28
Pepsi,33.24
Pepsi,39.01
Pepsi,42.16
Pepsi,39.66
Pepsi,36.54
Pepsi,37.82
Pepsi,38.6
Pepsi,34.27
Pepsi,36.43
Pepsi,37.85
Pepsi,36.79
Pepsi,38.88
Pepsi,35.66
Pepsi,37.97
Pepsi,34.88
Pepsi,36.8
Pepsi,36.22
Pepsi,38.47
Pepsi,33.46
Pepsi,36.14
Pepsi,34.26
Pepsi,35.01
Pepsi,33.23
Pepsi,39.32
Pepsi,40.35
Pepsi,32.61
Pepsi,37.1
Pepsi,32.73
Pepsi,34.26
Pepsi,33.79
Pepsi,35.68
Pepsi,34.15
Pepsi,33.57
Pepsi,35.74
Pepsi,34.46
Pepsi,39.01
Pepsi,34.36
Pepsi,35.88
Pepsi,34.38
DietPepsi,32.79
DietPepsi,35.03
DietPepsi,32.83
DietPepsi,31.78
DietPepsi,35.54
DietPepsi,33.69
DietPepsi,36.92
DietPepsi,33.57
DietPepsi,30.83
DietPepsi,34.02
DietPepsi,50.74
DietPepsi,39.39
DietPepsi,44.21
DietPepsi,50.82
DietPepsi,37.49
DietPepsi,48.98
DietPepsi,39.87
DietPepsi,36.51
DietPepsi,48.27
DietPepsi,44.71
DietPepsi,45.19
DietPepsi,35.54
DietPepsi,41.5
DietPepsi,52.54
DietPepsi,36.1
DietPepsi,39.59
DietPepsi,44.5
DietPepsi,34.54
DietPepsi,31.18
DietPepsi,29.32
DietPepsi,35.69
DietPepsi,32.97
DietPepsi,36.1
DietPepsi,33.44
DietPepsi,32.08
DietPepsi,34.83
DietPepsi,37.6
DietPepsi,32.12
DietPepsi,35.39
DietPepsi,31.78
DietPepsi,40.25
DietPepsi,40.07
DietPepsi,40.1
DietPepsi,38.27
DietPepsi,40.11
DietPepsi,38.32
DietPepsi,39.07
DietPepsi,41.06
DietPepsi,38.56
DietPepsi,37.19
DietPepsi,35.53
DietPepsi,33.85
DietPepsi,32.98
DietPepsi,29.24
DietPepsi,31.87
DietPepsi,31.86
DietPepsi,32.24
DietPepsi,33.11
DietPepsi,32.05
DietPepsi,34.27
DietPepsi,39.82
DietPepsi,38.06
DietPepsi,39.13
DietPepsi,33.11
DietPepsi,36.85
DietPepsi,35.64
DietPepsi,39.09
DietPepsi,39.85
DietPepsi,34.87
DietPepsi,38.57
